treatment_id,issue_type,description,confidence,cost,approval_required,success_rate,created_ts,approved_by
T_12c718,,Impute from records with same email/phone (ML-based similarity),0.75,medium,True,0.0,2025-12-09T15:03:46.482618,
T_46bc6c,,Request from customer via email/SMS campaign,0.6,high,False,0.0,2025-12-09T15:03:46.482618,
T_9f6f32,,Mark as incomplete and flag for manual review,0.9,low,False,0.0,2025-12-09T15:03:46.482618,
T_0cf19b,,Impute from records with same email/phone (ML-based similarity),0.75,medium,True,0.0,2025-12-09T15:33:43.925258,
T_daae7d,,Request from customer via email/SMS campaign,0.6,high,False,0.0,2025-12-09T15:33:43.925258,
T_27307f,,Mark as incomplete and flag for manual review,0.9,low,False,0.0,2025-12-09T15:33:43.925258,
T_34a880,,Impute from records with same email/phone (ML-based similarity),0.75,medium,True,0.0,2025-12-10T01:00:45.327742,
T_c9fa61,,Request from customer via email/SMS campaign,0.6,high,False,0.0,2025-12-10T01:00:45.328243,
T_6e4533,,Mark as incomplete and flag for manual review,0.9,low,False,0.0,2025-12-10T01:00:45.328243,
T_0603ba,,Impute from records with same email/phone (ML-based similarity),0.75,medium,True,0.0,2025-12-10T01:09:20.047519,
T_829d97,,Request from customer via email/SMS campaign,0.6,high,False,0.0,2025-12-10T01:09:20.048519,
T_311c0b,,Mark as incomplete and flag for manual review,0.9,low,False,0.0,2025-12-10T01:09:20.048519,
T_59e786,,Impute from records with same email/phone (ML-based similarity),0.75,medium,True,0.0,2025-12-10T01:13:19.283473,
T_7d4475,,Request from customer via email/SMS campaign,0.6,high,False,0.0,2025-12-10T01:13:19.283473,
T_583379,,Mark as incomplete and flag for manual review,0.9,low,False,0.0,2025-12-10T01:13:19.283473,
